file,function,lineno,has_doc
"scripts/CAD_basic.py","expand_rectangle",4527,1
"scripts/CAD_basic.py","parse_rectangle_points",4551,1
"scripts/CAD_basic.py","get_rectangular_polylines",4601,1
"scripts/CAD_basic.py","get_layout_rectangular_polylines_coords",4792,1
"scripts/CAD_basic.py","generate_name_and_ratio_from_com",4898,1
"scripts/CAD_basic.py","get_cad_app",5093,1
"scripts/CAD_basic.py","get_dimensions",5102,1
"scripts/CAD_basic.py","sort_coms_by_llcorner",5118,1
"scripts/CAD_basic.py","main",5149,0
"scripts/CAD_basic.py","generate_relation_list",5219,0
"scripts/CAD_basic.py","check_strict_standard_size",5251,1
"scripts/CAD_basic.py","check_strict_standard_size",5372,1
"scripts/CAD_basic.py","polyline_sort",5474,1
"scripts/CAD_basic.py","plcom_to_coor",5507,1
"scripts/CAD_basic.py","plcoor_to_com",5562,1
"scripts/CAD_basic.py","panduan_shuxiangkuang",5619,0
"scripts/CAD_basic.py","tongyi_tufu",5641,1
"scripts/CAD_basic.py","simplify_polygon",5674,1
"scripts/CAD_basic.py","normalize_polygon",5716,1
"scripts/CAD_basic.py","get_adjacent_points",5741,1
"scripts/CAD_basic.py","point_in_polygon",5760,1
"scripts/CAD_basic.py","line_segment_intersection_2d",5781,1
"scripts/CAD_basic.py","get_auxiliary_point",5810,1
"scripts/CAD_basic.py","concavity_measure",5860,1
"scripts/CAD_basic.py","concavity_angle",5890,1
"scripts/CAD_basic.py","split_orthogonal_hexagon",5905,1
"scripts/CAD_basic.py","split_orthogonal_hexagon_vertical",5978,1
"scripts/CAD_basic.py","area_of",6055,1
"scripts/CAD_basic.py","split_hexagon_combined",6068,1
"scripts/CAD_basic.py","get_bbox_edge_segments",6125,1
"scripts/CAD_basic.py","get_texts_in_polyline",6179,1
"scripts/CAD_basic.py","TDbMText_content",6232,1
"scripts/CAD_basic.py","distribute_points_on_entity",6343,0
"scripts/CAD_basic.py","is_segment_contained",6409,1
"scripts/CAD_basic.py","common_segments_between_polylines",6475,1
"scripts/CAD_basic.py","is_rect_inside_rect",6603,1
"scripts/CAD_basic.py","two_plines_making_rectangle",6636,1
"scripts/CAD_basic.py","are_all_vertices_inside",6758,1
"scripts/CAD_basic.py","ensure_list",6793,1
"scripts/CAD_basic.py","sort_tuples",6861,1
"scripts/CAD_basic.py","multi_dim_tolerance_sort",6888,1
"scripts/CAD_basic.py","get_ll_pt",6922,0
"scripts/CAD_basic.py","get_center",6926,0
"scripts/CAD_basic.py","sort_entities_by_position",6931,1
"scripts/CAD_basic.py","get_line_start",6964,1
"scripts/CAD_basic.py","sort_coms_by_llcorner",6975,1
"scripts/CAD_basic.py","sort_coms_by_rbcorner",7009,1
"scripts/CAD_basic.py","sort_coms_by_llcorner_custom",7046,1
"scripts/CAD_basic.py","sort_coms_by_center",7097,1
"scripts/CAD_basic.py","number_entities_by_order",7156,1
"scripts/CAD_basic.py","pr_list",7186,1
"scripts/CAD_basic.py","apply_to_each2",7211,1
"scripts/CAD_basic.py","get_boundingbox_from_objects",7278,1
"scripts/CAD_basic.py","chuangjian_zu",7303,0
"scripts/CAD_basic.py","nametogroup",7310,0
"scripts/CAD_basic.py","get_all_group_names",7318,1
"scripts/CAD_basic.py","get_all_groups",7331,1
"scripts/CAD_basic.py","add_objects_to_group",7351,1
"scripts/CAD_basic.py","add_object_to_group",7371,1
"scripts/CAD_basic.py","remove_object_from_group",7397,1
"scripts/CAD_basic.py","remove_objects_from_group",7427,1
"scripts/CAD_basic.py","get_com_from_groupname",7458,1
"scripts/CAD_basic.py","get_com_from_groupname_by_type",7480,1
"scripts/CAD_basic.py","get_group_entities_sorted",7509,1
