topic_id,source_doc,basename,title,kind_guess,owner_guess,class_guess,value_level,status,project_score,project_tags,keywords,path,notes
acad_aag:GUID_77744360_91AB_4289_8287_7F861522A0DF,acad_aag,GUID-77744360-91AB-4289-8287-7F861522A0DF.htm,About Exploding a Block Reference (VBA/ActiveX),topic,VBA/ActiveX,on_demand,medium,defer,6,titleblock,"about,activex,block,exploding,f861522a0df,guid,htm,reference,vba",01_extracted_html/acad_aag/GUID-77744360-91AB-4289-8287-7F861522A0DF.htm,useful but not first-batch core
acad_aag:GUID_97EC4066_41A2_43C3_AABC_7AF35ED542A6,acad_aag,GUID-97EC4066-41A2-43C3-AABC-7AF35ED542A6.htm,About Exporting and Importing Saved Layer Settings (VBA/ActiveX),topic,VBA/ActiveX,on_demand,medium,defer,6,construction,"aabc,about,activex,af35ed542a6,and,ec4066,exporting,guid,htm,importing,layer,saved,settings,vba",01_extracted_html/acad_aag/GUID-97EC4066-41A2-43C3-AABC-7AF35ED542A6.htm,useful but not first-batch core
acad_aag:GUID_C34E2AE8_A2D0_4781_8B5B_BC3E226E8B94,acad_aag,GUID-C34E2AE8-A2D0-4781-8B5B-BC3E226E8B94.htm,About Extracting Attribute Information (VBA/ActiveX),topic,VBA/ActiveX,on_demand,medium,defer,6,titleblock,"a2d0,about,activex,attribute,b5b,bc3e226e8b94,c34e2ae8,extracting,guid,htm,information,vba",01_extracted_html/acad_aag/GUID-C34E2AE8-A2D0-4781-8B5B-BC3E226E8B94.htm,useful but not first-batch core
acad_aag:GUID_07494559_EA6C_4D84_B494_A49930C67E91,acad_aag,GUID-07494559-EA6C-4D84-B494-A49930C67E91.htm,About Handling Application Level Events (VBA/ActiveX),event,VBA/ActiveX,on_demand,medium,defer,6,document,"a49930c67e91,about,activex,application,b494,d84,ea6c,events,guid,handling,htm,level,vba",01_extracted_html/acad_aag/GUID-07494559-EA6C-4D84-B494-A49930C67E91.htm,useful but not first-batch core
acad_aag:GUID_679FBC1A_DE7B_44BA_9F8B_CD6FF1660D67,acad_aag,GUID-679FBC1A-DE7B-44BA-9F8B-CD6FF1660D67.htm,About Handling Document Level Events (VBA/ActiveX),event,VBA/ActiveX,on_demand,medium,defer,6,document,"about,activex,cd6ff1660d67,de7b,document,events,f8b,fbc1a,guid,handling,htm,level,vba",01_extracted_html/acad_aag/GUID-679FBC1A-DE7B-44BA-9F8B-CD6FF1660D67.htm,useful but not first-batch core
acad_aag:GUID_E14EA6CE_7E2A_4632_AF5E_ECF098A76CDA,acad_aag,GUID-E14EA6CE-7E2A-4632-AF5E-ECF098A76CDA.htm,About How AutoCAD Saves Layer Settings (VBA/ActiveX),topic,VBA/ActiveX,on_demand,medium,defer,6,construction,"about,activex,af5e,autocad,e14ea6ce,e2a,ecf098a76cda,guid,how,htm,layer,saves,settings,vba",01_extracted_html/acad_aag/GUID-E14EA6CE-7E2A-4632-AF5E-ECF098A76CDA.htm,useful but not first-batch core
acad_aag:GUID_0A650525_85E8_4462_9F46_A1DD18A998F6,acad_aag,GUID-0A650525-85E8-4462-9F46-A1DD18A998F6.htm,About Inserting Blocks (VBA/ActiveX),topic,VBA/ActiveX,on_demand,medium,defer,6,titleblock,"a1dd18a998f6,a650525,about,activex,blocks,f46,guid,htm,inserting,vba",01_extracted_html/acad_aag/GUID-0A650525-85E8-4462-9F46-A1DD18A998F6.htm,useful but not first-batch core
acad_aag:GUID_3637903E_5C8A_4AEB_83AD_18F4C3FA6E4B,acad_aag,GUID-3637903E-5C8A-4AEB-83AD-18F4C3FA6E4B.htm,About Interacting with Other Windows Applications (ActiveX),topic,ActiveX,on_demand,medium,defer,6,document,"about,activex,aeb,applications,c8a,f4c3fa6e4b,guid,htm,interacting,other,windows,with",01_extracted_html/acad_aag/GUID-3637903E-5C8A-4AEB-83AD-18F4C3FA6E4B.htm,useful but not first-batch core
acad_aag:GUID_FA1CBDFC_E571_420B_A268_F1318E46BBD8,acad_aag,GUID-FA1CBDFC-E571-420B-A268-F1318E46BBD8.htm,About Interacting with Visual LISP Applications (AutoLISP/ActiveX),topic,AutoLISP/ActiveX,on_demand,medium,defer,6,document,"a268,about,activex,applications,autolisp,e571,f1318e46bbd8,fa1cbdfc,guid,htm,interacting,lisp,visual,with",01_extracted_html/acad_aag/GUID-FA1CBDFC-E571-420B-A268-F1318E46BBD8.htm,useful but not first-batch core
acad_aag:GUID_E1398C01_DE00_49DD_AC6A_124D77B3BBE6,acad_aag,GUID-E1398C01-DE00-49DD-AC6A-124D77B3BBE6.htm,About Layout Settings (VBA/ActiveX),topic,VBA/ActiveX,on_demand,medium,defer,6,layout,"about,ac6a,activex,d77b3bbe6,de00,e1398c01,guid,htm,layout,settings,vba",01_extracted_html/acad_aag/GUID-E1398C01-DE00-49DD-AC6A-124D77B3BBE6.htm,useful but not first-batch core
